a,b,eps,t
1e-05,0.0001,0,0.017333
0.0001,0.001,0,0.0138021
0.001,0.01,0,0.0104561
0.01,0.1,0,0.00906205
0.1,1,0,0.00878596
1,10,0,0.00740695
10,100,0,0.00743699
