a,b,N,t
1e-05,0.0001,1452,0.154922
0.0001,0.001,502,0.0321438
0.001,0.01,108,0.00616978
0.01,0.1,5,0.00011725
0.1,1,6,0.000172283
1,10,5,9.11e-05
10,100,4,5.9832e-05
