a,b,N,t
1e-05,0.0001,1452,0.0114087
0.0001,0.001,502,0.00229534
0.001,0.01,108,0.000365395
0.01,0.1,5,5.40004e-06
0.1,1,6,8.43604e-06
1,10,5,5.74102e-06
10,100,4,2.76498e-06
