a,b,N,t
1e-05,0.0001,1452,0.0945187
0.0001,0.001,502,0.0139811
0.001,0.01,108,0.000833373
0.01,0.1,5,6.01204e-06
0.1,1,6,9.979e-06
1,10,5,6.18101e-06
10,100,4,2.935e-06
