a,b,N,t
1e-05,0.0001,1452,0.412477
0.0001,0.001,502,0.0639131
0.001,0.01,108,0.00693517
0.01,0.1,5,0.000129052
0.1,1,6,0.000176271
1,10,5,0.000129854
10,100,4,6.1205e-05
