a,b,N,t
1e-05,0.0001,1452,0.218569
0.0001,0.001,502,0.0265961
0.001,0.01,108,0.00120531
0.01,0.1,5,4.53903e-06
0.1,1,6,6.85296e-06
1,10,5,4.07698e-06
10,100,4,1.87405e-06
