a,b,N,t
1e-05,0.0001,1452,0.136214
0.0001,0.001,502,0.0152065
0.001,0.01,108,0.000723998
0.01,0.1,5,3.65695e-06
0.1,1,6,4.859e-06
1,10,5,3.09595e-06
10,100,4,1.40304e-06
