a,b,N,t
1e-05,0.0001,1452,0.127226
0.0001,0.001,502,0.0150094
0.001,0.01,108,0.000692658
0.01,0.1,5,2.88599e-06
0.1,1,6,5.08997e-06
1,10,5,2.87499e-06
10,100,4,1.423e-06
