a,b,N,t
1e-05,0.0001,1452,0.412675
0.0001,0.001,502,0.0626512
0.001,0.01,108,0.00652815
0.01,0.1,5,0.000118242
0.1,1,6,0.000193934
1,10,5,0.000107201
10,100,4,6.0514e-05
