a,b,N,t
1e-05,0.0001,1452,0.405231
0.0001,0.001,502,0.060226
0.001,0.01,108,0.00656868
0.01,0.1,5,0.000107181
0.1,1,6,0.00017084
1,10,5,0.000111629
10,100,4,5.6126e-05
