a,b,N,t
1e-05,0.0001,1452,0.398778
0.0001,0.001,502,0.0571721
0.001,0.01,108,0.00545213
0.01,0.1,5,9.4687e-05
0.1,1,6,0.000140243
1,10,5,9.1722e-05
10,100,4,2.4146e-05
