a,b,N,t
1e-05,0.0001,1452,0.160225
0.0001,0.001,502,0.0354703
0.001,0.01,108,0.00702024
0.01,0.1,5,0.00013305
0.1,1,6,0.000207209
1,10,5,0.000137488
10,100,4,7.3428e-05
