a,b,N,t
1e-05,0.0001,1452,0.345711
0.0001,0.001,502,0.0436009
0.001,0.01,108,0.00191309
0.01,0.1,5,6.82299e-06
0.1,1,6,1.1071e-05
1,10,5,6.66303e-06
10,100,4,2.79496e-06
