a,b,N,t
1e-05,0.0001,1452,0.151916
0.0001,0.001,502,0.0239093
0.001,0.01,108,0.00450061
0.01,0.1,5,7.3709e-05
0.1,1,6,0.000108624
1,10,5,8.2635e-05
10,100,4,4.283e-05
