a,b,N,t
1e-05,0.0001,1452,0.0925606
0.0001,0.001,502,0.0291738
0.001,0.01,108,0.00560491
0.01,0.1,5,9.9427e-05
0.1,1,6,0.000136076
1,10,5,0.000118332
10,100,4,5.2428e-05
