a,b,N,t
1e-05,0.0001,1452,0.0231721
0.0001,0.001,502,0.00313702
0.001,0.01,108,0.000241553
0.01,0.1,5,2.835e-06
0.1,1,6,4.10702e-06
1,10,5,2.44397e-06
10,100,4,1.14198e-06
