a,b,N,t
1e-05,0.0001,1452,0.0935085
0.0001,0.001,502,0.0307683
0.001,0.01,108,0.00619707
0.01,0.1,5,0.000111088
0.1,1,6,0.000164058
1,10,5,0.000114745
10,100,4,5.2278e-05
