a,b,N,t
1e-05,0.0001,1452,0.163366
0.0001,0.001,502,0.0324841
0.001,0.01,108,0.00536402
0.01,0.1,5,0.000132819
0.1,1,6,0.000159619
1,10,5,0.000101441
10,100,4,5.2668e-05
