a,b,N,t
1e-05,0.0001,1452,0.425177
0.0001,0.001,502,0.0612658
0.001,0.01,108,0.0058181
0.01,0.1,5,0.000104426
0.1,1,6,0.000151324
1,10,5,9.43471e-05
10,100,4,5.1767e-05
