a,b,N,t
1e-05,0.0001,1452,0.410537
0.0001,0.001,502,0.0632714
0.001,0.01,108,0.00727427
0.01,0.1,5,0.000136906
0.1,1,6,0.000180929
1,10,5,0.000130084
10,100,4,6.7838e-05
