a,b,N,t
1e-05,0.0001,1452,0.0803287
0.0001,0.001,502,0.0262883
0.001,0.01,108,0.00538942
0.01,0.1,5,9.2103e-05
0.1,1,6,0.000137358
1,10,5,7.7104e-05
10,100,4,5.1357e-05
