a,b,N,t
1e-05,0.0001,1452,0.042815
0.0001,0.001,502,0.00516258
0.001,0.01,108,0.000233468
0.01,0.1,5,4.20026e-07
0.1,1,6,6.00994e-07
1,10,5,3.61004e-07
10,100,4,1.40048e-07
