a,b,N,t
1e-05,0.0001,1452,0.41095
0.0001,0.001,502,0.044874
0.001,0.01,108,0.00206964
0.01,0.1,5,6.97304e-06
0.1,1,6,1.0871e-05
1,10,5,6.48201e-06
10,100,4,3.93804e-06
