a,b,N,t
1e-05,0.0001,1452,0.401043
0.0001,0.001,502,0.0445354
0.001,0.01,108,0.00211764
0.01,0.1,5,6.76297e-06
0.1,1,6,9.968e-06
1,10,5,7.11303e-06
10,100,4,2.87499e-06
