a,b,N,t
1e-05,0.0001,1452,0.0737584
0.0001,0.001,502,0.00961743
0.001,0.01,108,0.000644819
0.01,0.1,5,5.971e-06
0.1,1,6,9.04698e-06
1,10,5,5.57001e-06
10,100,4,2.38401e-06
