a,b,N,t
1e-05,0.0001,1452,0.012263
0.0001,0.001,502,0.00249395
0.001,0.01,108,0.000362029
0.01,0.1,5,5.771e-06
0.1,1,6,8.82702e-06
1,10,5,5.15999e-06
10,100,4,2.89502e-06
