a,b,N,t
1e-05,0.0001,1452,0.410125
0.0001,0.001,502,0.0604891
0.001,0.01,108,0.00579772
0.01,0.1,5,0.000136416
0.1,1,6,0.000168586
1,10,5,0.000116759
10,100,4,0.00178747
