a,b,N,t
1e-05,0.0001,1452,0.437995
0.0001,0.001,502,0.0666978
0.001,0.01,108,0.0052366
0.01,0.1,5,9.5108e-05
0.1,1,6,0.000134743
1,10,5,9.1933e-05
10,100,4,4.5185e-05
