a,b,N,t
1e-05,0.0001,1452,0.395255
0.0001,0.001,502,0.0555511
0.001,0.01,108,0.00503093
0.01,0.1,5,9.8565e-05
0.1,1,6,0.000134652
1,10,5,6.2457e-05
10,100,4,4.1468e-05
