a,b,N,t
1e-05,0.0001,1452,0.450954
0.0001,0.001,502,0.0601329
0.001,0.01,108,0.00609971
0.01,0.1,5,0.000115066
0.1,1,6,0.000160251
1,10,5,0.000110187
10,100,4,5.2849e-05
