a,b,N,t
1e-05,0.0001,1452,0.50128
0.0001,0.001,502,0.0551179
0.001,0.01,108,0.00243527
0.01,0.1,5,7.094e-06
0.1,1,6,1.1171e-05
1,10,5,7.394e-06
10,100,4,3.35602e-06
