a,b,N,t
1e-05,0.0001,1452,0.157216
0.0001,0.001,502,0.0347572
0.001,0.01,108,0.0057409
0.01,0.1,5,0.000106911
0.1,1,6,0.000160812
1,10,5,8.0932e-05
10,100,4,5.7548e-05
