a,b,N,t
1e-05,0.0001,1452,0.544124
0.0001,0.001,502,0.0543299
0.001,0.01,108,0.00238272
0.01,0.1,5,7.37398e-06
0.1,1,6,1.13421e-05
1,10,5,7.47404e-06
10,100,4,3.36603e-06
