a,b,N,t
1e-05,0.0001,1452,0.0709905
0.0001,0.001,502,0.00872817
0.001,0.01,108,0.00047994
0.01,0.1,5,2.385e-06
0.1,1,6,4.248e-06
1,10,5,2.66498e-06
10,100,4,1.12201e-06
