a,b,N,t
1e-05,0.0001,1452,0.442528
0.0001,0.001,502,0.0670563
0.001,0.01,108,0.00755985
0.01,0.1,5,0.00013863
0.1,1,6,0.000197932
1,10,5,0.000140593
10,100,4,6.9591e-05
