a,b,N,t
1e-05,0.0001,1452,0.101918
0.0001,0.001,502,0.0319988
0.001,0.01,108,0.00669258
0.01,0.1,5,0.000121839
0.1,1,6,0.000189505
1,10,5,0.000122209
10,100,4,6.3209e-05
