a,b,N,t
1e-05,0.0001,1452,0.156855
0.0001,0.001,502,0.0272769
0.001,0.01,108,0.00490262
0.01,0.1,5,8.6442e-05
0.1,1,6,0.000211176
1,10,5,9.0389e-05
10,100,4,4.6407e-05
