a,b,N,t
1e-05,0.0001,1452,0.0680838
0.0001,0.001,502,0.0207064
0.001,0.01,108,0.00398924
0.01,0.1,5,7.9268e-05
0.1,1,6,0.000131326
1,10,5,7.509e-05
10,100,4,3.7972e-05
