a,b,N,t
1e-05,0.0001,1452,0.156151
0.0001,0.001,502,0.0341967
0.001,0.01,108,0.0065586
0.01,0.1,5,0.000119995
0.1,1,6,0.000168636
1,10,5,0.000120406
10,100,4,6.8679e-05
