a,b,N,t
1e-05,0.0001,1452,0.404463
0.0001,0.001,502,0.0615609
0.001,0.01,108,0.00688564
0.01,0.1,5,0.000124243
0.1,1,6,0.000176631
1,10,5,0.00012283
10,100,4,5.8019e-05
