a,b,N,t
1e-05,0.0001,1452,0.455081
0.0001,0.001,502,0.061296
0.001,0.01,108,0.00616993
0.01,0.1,5,0.000129192
0.1,1,6,0.000159368
1,10,5,0.000114094
10,100,4,5.4111e-05
