a,b,N,t
1e-05,0.0001,1452,0.0103892
0.0001,0.001,502,0.00245118
0.001,0.01,108,0.000380394
0.01,0.1,5,5.982e-06
0.1,1,6,9.20804e-06
1,10,5,5.871e-06
10,100,4,2.90596e-06
