a,b,N,t
1e-05,0.0001,1452,0.075888
0.0001,0.001,502,0.0231624
0.001,0.01,108,0.00525337
0.01,0.1,5,0.000107311
0.1,1,6,0.000161032
1,10,5,0.000107301
10,100,4,0.000142767
