a,b,N,t
1e-05,0.0001,1452,0.0108677
0.0001,0.001,502,0.00188011
0.001,0.01,108,0.000244598
0.01,0.1,5,3.647e-06
0.1,1,6,5.35999e-06
1,10,5,3.40596e-06
10,100,4,1.74297e-06
