a,b,N,t
1e-05,0.0001,1452,0.0696643
0.0001,0.001,502,0.00858626
0.001,0.01,108,0.000464812
0.01,0.1,5,2.585e-06
0.1,1,6,3.86703e-06
1,10,5,2.51498e-06
10,100,4,1.14203e-06
