a,b,N,t
1e-05,0.0001,1452,0.00982161
0.0001,0.001,502,0.00202328
0.001,0.01,108,0.000305183
0.01,0.1,5,4.51901e-06
0.1,1,6,6.66303e-06
1,10,5,4.17803e-06
10,100,4,1.974e-06
