a,b,N,t
1e-05,0.0001,1452,0.149263
0.0001,0.001,502,0.0263179
0.001,0.01,108,0.00450398
0.01,0.1,5,8.8035e-05
0.1,1,6,0.000125686
1,10,5,7.7525e-05
10,100,4,4.1006e-05
