a,b,N,t
1e-05,0.0001,1452,0.0133405
0.0001,0.001,502,0.00208866
0.001,0.01,108,0.000221225
0.01,0.1,5,2.935e-06
0.1,1,6,4.82897e-06
1,10,5,2.91597e-06
10,100,4,1.35205e-06
