a,b,N,t
1e-05,0.0001,1452,0.122528
0.0001,0.001,502,0.0377722
0.001,0.01,108,0.000973616
0.01,0.1,5,8.05501e-06
0.1,1,6,1.1792e-05
1,10,5,8.12497e-06
10,100,4,3.76703e-06
