a,b,N,t
1e-05,0.0001,1452,0.0805099
0.0001,0.001,502,0.0106236
0.001,0.01,108,0.000730029
0.01,0.1,5,6.221e-06
0.1,1,6,9.32801e-06
1,10,5,5.90098e-06
10,100,4,2.735e-06
