a,b,N,t
1e-05,0.0001,1452,0.408062
0.0001,0.001,502,0.0566063
0.001,0.01,108,0.00494168
0.01,0.1,5,8.2655e-05
0.1,1,6,0.000124844
1,10,5,8.49291e-05
10,100,4,4.2289e-05
