a,b,N,t
1e-05,0.0001,1452,0.0889069
0.0001,0.001,502,0.0288209
0.001,0.01,108,0.00587354
0.01,0.1,5,0.000102012
0.1,1,6,0.000162274
1,10,5,9.6e-05
10,100,4,5.2979e-05
