a,b,N,t
1e-05,0.0001,1452,0.390143
0.0001,0.001,502,0.0538117
0.001,0.01,108,0.00451952
0.01,0.1,5,6.4911e-05
0.1,1,6,0.000189816
1,10,5,7.7095e-05
10,100,4,3.6007e-05
