a,b,N,t
1e-05,0.0001,1452,0.109528
0.0001,0.001,502,0.0392563
0.001,0.01,108,0.00866677
0.01,0.1,5,0.000135965
0.1,1,6,0.000211407
1,10,5,0.000140593
10,100,4,6.8578e-05
