a,b,N,t
1e-05,0.0001,1452,0.0731348
0.0001,0.001,502,0.00867305
0.001,0.01,108,0.000522039
0.01,0.1,5,4.07797e-06
0.1,1,6,5.01896e-06
1,10,5,3.797e-06
10,100,4,1.92301e-06
