a,b,N,t
1e-05,0.0001,1452,0.328404
0.0001,0.001,502,0.0401575
0.001,0.01,108,0.0018635
0.01,0.1,5,6.232e-06
0.1,1,6,9.868e-06
1,10,5,6.31099e-06
10,100,4,2.82604e-06
