a,b,N,t
1e-05,0.0001,1452,0.212621
0.0001,0.001,502,0.0263707
0.001,0.01,108,0.00144299
0.01,0.1,5,5.27001e-06
0.1,1,6,8.57603e-06
1,10,5,5.42001e-06
10,100,4,2.39501e-06
