a,b,N,t
1e-05,0.0001,1452,0.216443
0.0001,0.001,502,0.0271929
0.001,0.01,108,0.0013406
0.01,0.1,5,6.97299e-06
0.1,1,6,9.85904e-06
1,10,5,5.28002e-06
10,100,4,2.32499e-06
