a,b,N,t
1e-05,0.0001,1452,0.173381
0.0001,0.001,502,0.0195575
0.001,0.01,108,0.000868779
0.01,0.1,5,4.22797e-06
0.1,1,6,5.83101e-06
1,10,5,3.62698e-06
10,100,4,1.73401e-06
