a,b,eps,t
1e-05,0.0001,0,1.26088
0.0001,0.001,0,1.27235
0.001,0.01,0,1.28326
0.01,0.1,0,1.47212
0.1,1,0,1.25524
1,10,0,1.23277
10,100,0,1.26347
