a,b,eps,t
1e-05,0.0001,0,0.509497
0.0001,0.001,0,0.466742
0.001,0.01,0,0.462218
0.01,0.1,0,0.444026
0.1,1,0,0.448424
1,10,0,0.448172
10,100,0,0.445209
