a,b,eps,t
1e-05,0.0001,0,0.037519
0.0001,0.001,0,0.043855
0.001,0.01,0,0.030607
0.01,0.1,0,0.0444798
0.1,1,0,0.0428801
1,10,0,0.047236
10,100,0,0.0357041
