a,b,eps,t
1e-05,0.0001,0,0.773551
0.0001,0.001,0,0.772379
0.001,0.01,0,0.764435
0.01,0.1,0,0.774424
0.1,1,0,0.773879
1,10,0,0.773346
10,100,0,0.777077
