a,b,eps,t
1e-05,0.0001,0,0.0188291
0.0001,0.001,0,0.020467
0.001,0.01,0,0.0204489
0.01,0.1,0,0.0215471
0.1,1,0,0.0218999
1,10,0,0.020237
10,100,0,0.0174789
